Company,Year,average_label,industry,environmental,social,governance,ticker
KB금융,2019,5.016282392957747,Finance,88,85,62,105560.KS
KB금융,2020,5.109671192857142,Finance,78,63,81,105560.KS
KB금융,2021,5.996063655147059,Finance,64,80,88,105560.KS
KB금융,2022,6.9665336387500005,Finance,92,97,98,105560.KS
KB금융,2023,7.0129885740740745,Finance,57,64,81,105560.KS
NAVER,2019,4.815658240909091,Technology,70,57,53,035420.KS
NAVER,2020,4.797408708333333,Technology,88,63,79,035420.KS
NAVER,2021,6.733145481132076,Technology,68,72,86,035420.KS
NAVER,2022,6.642237775,Technology,72,89,72,035420.KS
NAVER,2023,5.643522093617021,Technology,60,70,88,035420.KS
SK하이닉스,2019,2.097431492327273,Technology,60,65,94,000660.KS
SK하이닉스,2020,3.649572214117647,Technology,73,94,64,000660.KS
SK하이닉스,2021,3.710508376695653,Technology,85,67,92,000660.KS
SK하이닉스,2022,4.903345875862069,Technology,89,96,78,000660.KS
SK하이닉스,2023,4.9204774655462185,Technology,73,73,85,000660.KS
기아,2019,1.7965601777260274,Automobile,52,75,62,000270.KS
기아,2020,1.301239396625,Automobile,71,74,81,000270.KS
기아,2021,2.0584003696969697,Automobile,51,94,56,000270.KS
기아,2022,1.9602879678833331,Automobile,73,90,71,000270.KS
기아,2023,2.774900443543307,Automobile,93,78,77,000270.KS
삼성SDI,2019,4.35013663537931,Energy,79,64,51,006400.KS
삼성SDI,2020,4.419508021610169,Energy,87,94,91,006400.KS
삼성SDI,2021,4.213434693587786,Energy,51,50,94,006400.KS
삼성SDI,2022,4.739212611450381,Energy,70,74,55,006400.KS
삼성SDI,2023,4.776359653977273,Energy,82,56,77,006400.KS
삼성물산,2019,3.2490061166666666,Construction,61,58,77,028260.KS
삼성물산,2020,4.275316021739131,Construction,71,73,93,028260.KS
삼성물산,2021,4.703797548,Construction,93,50,93,028260.KS
삼성물산,2022,4.477483781081081,Construction,74,93,69,028260.KS
삼성물산,2023,4.80101287,Construction,98,57,79,028260.KS
삼성바이오로직스,2019,2.3902494813953488,Healthcare,76,73,60,207940.KS
삼성바이오로직스,2020,3.2759054727272727,Healthcare,91,60,77,207940.KS
삼성바이오로직스,2021,2.203564621836734,Healthcare,77,66,74,207940.KS
삼성바이오로직스,2022,2.277997693150685,Healthcare,65,57,88,207940.KS
삼성바이오로직스,2023,1.842112555277778,Healthcare,64,84,82,207940.KS
삼성생명,2019,1.8691059102314636,Finance,96,84,50,032830.KS
삼성생명,2020,3.027083954863158,Finance,93,82,76,032830.KS
삼성생명,2021,4.745852489473684,Finance,52,54,62,032830.KS
삼성생명,2022,4.388640728571429,Finance,86,91,90,032830.KS
삼성생명,2023,2.77199011306383,Finance,56,88,52,032830.KS
삼성전자,2019,4.225912940384616,Technology,70,90,88,005930.KS
삼성전자,2020,5.421560571212121,Technology,58,77,55,005930.KS
삼성전자,2021,5.118523774683545,Technology,88,56,57,005930.KS
삼성전자,2022,4.948362410476191,Technology,67,58,76,005930.KS
삼성전자,2023,5.915539942857143,Technology,53,57,58,005930.KS
셀트리온,2019,2.8468629045454543,Healthcare,74,61,86,068270.KS
셀트리온,2020,2.16524557628866,Healthcare,63,83,82,068270.KS
셀트리온,2021,1.668775880886076,Healthcare,99,82,91,068270.KS
셀트리온,2022,0.6329311749633028,Healthcare,58,97,93,068270.KS
셀트리온,2023,0.6208568945329788,Healthcare,75,72,73,068270.KS
신한지주,2019,5.687662950684932,Finance,51,73,64,055550.KS
신한지주,2020,5.470094014942529,Finance,69,86,81,055550.KS
신한지주,2021,5.46404781443299,Finance,77,84,81,055550.KS
신한지주,2022,5.390044619402985,Finance,96,93,73,055550.KS
신한지주,2023,5.971607106410256,Finance,56,89,90,055550.KS
카카오,2019,3.345765069565217,Technology,93,71,98,035720.KS
카카오,2020,3.933447609090909,Technology,57,76,98,035720.KS
카카오,2021,4.670167663768115,Technology,96,84,61,035720.KS
카카오,2022,5.936381676829268,Technology,84,50,88,035720.KS
카카오,2023,4.7762923060240965,Technology,63,84,51,035720.KS
포스코 홀딩스,2019,3.363093275,Materials,66,86,52,005490.KS
포스코 홀딩스,2020,3.4344335800000003,Materials,85,96,98,005490.KS
포스코 홀딩스,2021,3.483677492727273,Materials,99,63,86,005490.KS
포스코 홀딩스,2022,3.4355440956287424,Materials,89,52,98,005490.KS
포스코 홀딩스,2023,4.437256293261803,Materials,53,50,66,005490.KS
현대모비스,2019,0.5388350275535714,Automobile,51,54,98,012330.KS
현대모비스,2020,1.8692771602447555,Automobile,55,75,51,012330.KS
현대모비스,2021,1.2156516787688172,Automobile,91,63,51,012330.KS
현대모비스,2022,1.1942486319455785,Automobile,53,88,77,012330.KS
현대모비스,2023,1.6880004472092198,Automobile,78,76,72,012330.KS
현대차,2019,1.7573391892090395,Automobile,67,58,86,005380.KS
현대차,2020,1.6715929682751325,Automobile,75,64,81,005380.KS
현대차,2021,1.2222345931898,Automobile,93,64,82,005380.KS
현대차,2022,1.381262621965318,Automobile,83,75,50,005380.KS
현대차,2023,2.590014747878788,Automobile,59,91,68,005380.KS
