Company,Year,average_label,industry,environmental,social,governance,ticker
Sample(E),2019,9,Sample,90,50,50,069500.KS
Sample(E),2020,9,Sample,90,50,50,069500.KS
Sample(E),2021,9,Sample,90,50,50,069500.KS
Sample(E),2022,9,Sample,90,50,50,069500.KS
Sample(E),2023,9,Sample,90,50,50,069500.KS
Sample(S),2019,9,Sample,50,90,50,102110.KS
Sample(S),2020,9,Sample,50,90,50,102110.KS
Sample(S),2021,9,Sample,50,90,50,102110.KS
Sample(S),2022,9,Sample,50,90,50,102110.KS
Sample(S),2023,9,Sample,50,90,50,102110.KS
Sample(G),2019,9,Sample,50,50,90,148020.KS
Sample(G),2020,9,Sample,50,50,90,148020.KS
Sample(G),2021,9,Sample,50,50,90,148020.KS
Sample(G),2022,9,Sample,50,50,90,148020.KS
Sample(G),2023,9,Sample,50,50,90,148020.KS
GS리테일,2019,5.627671594,Retail & Consumer Goods,68,51,86,007070.KS
GS리테일,2020,2.724116731,Retail & Consumer Goods,76,88,70,007070.KS
GS리테일,2021,5.627671594,Retail & Consumer Goods,68,51,86,007070.KS
GS리테일,2022,1.903215127,Retail & Consumer Goods,67,93,63,007070.KS
GS리테일,2023,5.627671594,Retail & Consumer Goods,68,51,86,007070.KS
HMM,2019,5.733874159,Automotive & Transport,97,87,82,011200.KS
HMM,2020,2.646901928,Automotive & Transport,95,64,85,011200.KS
HMM,2021,5.096362688,Automotive & Transport,81,61,86,011200.KS
HMM,2022,2.198468746,Automotive & Transport,90,75,76,011200.KS
HMM,2023,5.733874159,Automotive & Transport,97,87,82,011200.KS
KB금융,2019,5.016282393,Finance & Insurance,88,85,62,105560.KS
KB금융,2020,5.109671193,Finance & Insurance,78,63,81,105560.KS
KB금융,2021,5.996063655,Finance & Insurance,64,80,88,105560.KS
KB금융,2022,6.966533639,Finance & Insurance,92,97,98,105560.KS
KB금융,2023,7.012988574,Finance & Insurance,57,64,81,105560.KS
KT,2019,2.295101533,Electronics & IT,72,64,55,030200.KS
KT,2020,2.295101533,Electronics & IT,72,64,55,030200.KS
KT,2021,3.59776158,Electronics & IT,56,91,51,030200.KS
KT,2022,4.434772943,Electronics & IT,92,95,97,030200.KS
KT,2023,5.535419067,Electronics & IT,52,83,74,030200.KS
LG디스플레이,2019,1.213283626,Electronics & IT,80,90,79,034220.KS
LG디스플레이,2020,1.213283626,Electronics & IT,80,90,79,034220.KS
LG디스플레이,2021,3.257333458,Electronics & IT,82,76,92,034220.KS
LG디스플레이,2022,1.213283626,Electronics & IT,80,90,79,034220.KS
LG디스플레이,2023,4.452919468,Electronics & IT,52,94,68,034220.KS
LG생활건강,2019,3.861003581,Retail & Consumer Goods,70,52,67,051900.KS
LG생활건강,2020,3.861003581,Retail & Consumer Goods,70,52,67,051900.KS
LG생활건강,2021,3.861003581,Retail & Consumer Goods,70,52,67,051900.KS
LG생활건강,2022,4.287893026,Retail & Consumer Goods,92,50,78,051900.KS
LG생활건강,2023,3.861003581,Retail & Consumer Goods,70,52,67,051900.KS
LG에너지솔루션,2019,-0.371838647,Energy & Chemicals,55,58,76,373220.KS
LG에너지솔루션,2020,3.441395883,Energy & Chemicals,68,80,85,373220.KS
LG에너지솔루션,2021,1.76527976,Energy & Chemicals,55,88,93,373220.KS
LG에너지솔루션,2022,3.441395883,Energy & Chemicals,68,80,85,373220.KS
LG에너지솔루션,2023,3.441395883,Energy & Chemicals,68,80,85,373220.KS
LG유플러스,2019,5.435095701,Electronics & IT,66,86,87,032640.KS
LG유플러스,2020,5.218316177,Electronics & IT,77,92,93,032640.KS
LG유플러스,2021,5.435095701,Electronics & IT,66,86,87,032640.KS
LG유플러스,2022,5.435095701,Electronics & IT,66,86,87,032640.KS
LG유플러스,2023,5.435095701,Electronics & IT,66,86,87,032640.KS
LG전자,2019,3.88969555,Electronics & IT,64,64,66,066570.KS
LG전자,2020,3.215077465,Electronics & IT,94,55,87,066570.KS
LG전자,2021,2.980511547,Electronics & IT,73,95,84,066570.KS
LG전자,2022,7.678739538,Electronics & IT,61,95,81,066570.KS
LG전자,2023,3.88969555,Electronics & IT,64,64,66,066570.KS
LG화학,2019,6.051125714,Energy & Chemicals,79,78,88,051910.KS
LG화학,2020,6.051125714,Energy & Chemicals,79,78,88,051910.KS
LG화학,2021,6.051125714,Energy & Chemicals,79,78,88,051910.KS
LG화학,2022,6.051125714,Energy & Chemicals,79,78,88,051910.KS
LG화학,2023,4.358876594,Energy & Chemicals,63,96,53,051910.KS
NAVER,2019,4.815658241,Gaming & Internet,70,57,53,035420.KS
NAVER,2020,4.797408708,Gaming & Internet,88,63,79,035420.KS
NAVER,2021,6.733145481,Gaming & Internet,68,72,86,035420.KS
NAVER,2022,6.642237775,Gaming & Internet,72,89,72,035420.KS
NAVER,2023,5.643522094,Gaming & Internet,60,70,88,035420.KS
POSCO홀딩스,2019,3.363093275,Materials,66,86,52,005490.KS
POSCO홀딩스,2020,3.43443358,Materials,85,96,98,005491.KS
POSCO홀딩스,2021,3.483677493,Materials,99,63,86,005492.KS
POSCO홀딩스,2022,3.435544096,Materials,89,52,98,005493.KS
POSCO홀딩스,2023,4.437256293,Materials,53,50,66,005494.KS
S-Oil,2019,3.290707573,Energy & Chemicals,85,80,66,010950.KS
S-Oil,2020,3.825437936,Energy & Chemicals,95,77,81,010950.KS
S-Oil,2021,3.98136732,Energy & Chemicals,81,66,93,010950.KS
S-Oil,2022,3.98136732,Energy & Chemicals,81,66,93,010950.KS
S-Oil,2023,3.98136732,Energy & Chemicals,81,66,93,010950.KS
SK네트웍스,2019,2.232868936,Conglomerates,63,67,72,001740.KS
SK네트웍스,2020,0.584283887,Conglomerates,70,84,69,001740.KS
SK네트웍스,2021,2.232868936,Conglomerates,63,67,72,001740.KS
SK네트웍스,2022,5.520587487,Conglomerates,92,50,66,001740.KS
SK네트웍스,2023,2.232868936,Conglomerates,63,67,72,001740.KS
SK바이오사이언스,2019,4.318024801,Biotechnology & Pharmaceuticals,76,84,72,302440.KS
SK바이오사이언스,2020,4.318024801,Biotechnology & Pharmaceuticals,76,84,72,302440.KS
SK바이오사이언스,2021,3.549410571,Biotechnology & Pharmaceuticals,94,83,57,302440.KS
SK바이오사이언스,2022,4.318024801,Biotechnology & Pharmaceuticals,76,84,72,302440.KS
SK바이오사이언스,2023,6.871904207,Biotechnology & Pharmaceuticals,61,87,57,302440.KS
SK바이오팜,2019,3.156523113,Biotechnology & Pharmaceuticals,52,85,82,326030.KS
SK바이오팜,2020,4.648236835,Biotechnology & Pharmaceuticals,97,58,95,326030.KS
SK바이오팜,2021,5.828758664,Biotechnology & Pharmaceuticals,78,53,83,326030.KS
SK바이오팜,2022,5.828758664,Biotechnology & Pharmaceuticals,78,53,83,326030.KS
SK바이오팜,2023,2.812885988,Biotechnology & Pharmaceuticals,66,75,81,326030.KS
SK아이이테크놀로지,2019,4.863137046,Electronics & IT,62,61,52,361610.KS
SK아이이테크놀로지,2020,4.863137046,Electronics & IT,62,61,52,361610.KS
SK아이이테크놀로지,2021,0.567759174,Electronics & IT,73,96,81,361610.KS
SK아이이테크놀로지,2022,3.272670982,Electronics & IT,61,65,71,361610.KS
SK아이이테크놀로지,2023,4.863137046,Electronics & IT,62,61,52,361610.KS
SK이노베이션,2019,4.97807125,Energy & Chemicals,61,80,51,096770.KS
SK이노베이션,2020,4.97807125,Energy & Chemicals,61,80,51,096770.KS
